Lab,Tester_Id,Exp,PVS,Scene,Camera,OS,Timestamp,Camera_w_ver,Orientation
agh,270,ccriq2,DenverBotanicGardensRocks_H_phon_5mp.jpg,DenverBotanicGardensRocks,H,4,2017-12-04 15:37:12,Hver1,
agh,274,ccriq2,DenverBotanicGardensRocks_L_phon_8mp.JPG,DenverBotanicGardensRocks,L,3,2017-12-04 15:37:12,Lver1,
agh,275,ccriq2,DenverBotanicGardensRocks_N_phon_8mp.jpg,DenverBotanicGardensRocks,N,3,2017-12-04 15:37:12,Nver1,
agh,282,ccriq2,Senior_B_compct_1mp.JPG,Senior,B,2,2017-12-04 15:37:13,Bver1,
agh,259,ccriq2,Senior_S_phon_13mp.jpg,Senior,S,2,2017-12-04 15:37:13,Sver1,
agh,271,ccriq2,Senior_T_comct_13mp.JPG,Senior,T,4,2017-12-04 15:37:13,Tver1,
agh,267,ccriq2,Senior_W_compct_20mp.JPG,Senior,W,5,2017-12-04 15:37:14,Wver1,
agh,270,ccriq2,Senior_H_phon_5mp.jpg,Senior,H,4,2017-12-04 15:37:14,Hver1,
agh,263,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,4,2017-12-04 15:37:14,Tver1,
agh,275,ccriq2,PipesNight_J_tab_5mp.JPG,PipesNight,J,3,2017-12-04 15:37:14,Jver1,
agh,264,ccriq2,BouquetPastel_E_compct_5mp.JPG,BouquetPastel,E,3,2017-12-04 15:37:15,Ever1,
agh,266,ccriq2,BouquetPastel_G_phon_5mp.jpg,BouquetPastel,G,3,2017-12-04 15:37:15,Gver1,
agh,274,ccriq2,BouquetPastel_N_phon_8mp.jpg,BouquetPastel,N,4,2017-12-04 15:37:15,Nver1,
agh,269,ccriq2,DenverBotanicGardensRocks_N_phon_8mp.jpg,DenverBotanicGardensRocks,N,2,2017-12-04 15:37:15,Nver1,
agh,282,ccriq2,PipesNight_J_tab_5mp.JPG,PipesNight,J,3,2017-12-04 15:37:15,Jver1,
agh,265,ccriq2,DenverBotanicGardensRocks_J_tab_5mp.JPG,DenverBotanicGardensRocks,J,3,2017-12-04 15:37:16,Jver1,
agh,262,ccriq2,DenverBotanicGardensRocks_P_compct_13mp.JPG,DenverBotanicGardensRocks,P,3,2017-12-04 15:37:16,Pver1,
agh,259,ccriq2,Senior_T_comct_13mp.JPG,Senior,T,4,2017-12-04 15:37:16,Tver1,
agh,275,ccriq2,DenverBotanicGardensRocks_L_phon_8mp.JPG,DenverBotanicGardensRocks,L,4,2017-12-04 15:37:17,Lver1,
agh,271,ccriq2,Senior_V_phon_20mp.jpg,Senior,V,3,2017-12-04 15:37:17,Vver1,
agh,266,ccriq2,PipesNight_T_compct_13mp.JPG,PipesNight,T,2,2017-12-04 15:37:18,Tver1,
agh,270,ccriq2,DenverBotanicGardensRocks_J_tab_5mp.JPG,DenverBotanicGardensRocks,J,4,2017-12-04 15:37:18,Jver1,
agh,269,ccriq2,BouquetPastel_W_compct_20mp.JPG,BouquetPastel,W,2,2017-12-04 15:37:18,Wver1,
agh,282,ccriq2,Senior_K_dslr_8mp.JPG,Senior,K,5,2017-12-04 15:37:19,Kver1,
agh,275,ccriq2,BouquetPastel_B_compct_1mp.JPG,BouquetPastel,B,2,2017-12-04 15:37:19,Bver1,
agh,259,ccriq2,BouquetPastel_M_phon_8mp.JPG,BouquetPastel,M,4,2017-12-04 15:37:20,Mver1,
